,dogs_name,images
0,affenpinscher,"['https://images.dog.ceo/breeds/affenpinscher/n02110627_10986.jpg'
 'https://images.dog.ceo/breeds/affenpinscher/n02110627_13211.jpg']"
1,african,"['https://images.dog.ceo/breeds/african/n02116738_2327.jpg'
 'https://images.dog.ceo/breeds/african/n02116738_2988.jpg'
 'https://images.dog.ceo/breeds/african/n02116738_10640.jpg'
 'https://images.dog.ceo/breeds/african/n02116738_9232.jpg']"
2,airedale,"['https://images.dog.ceo/breeds/airedale/n02096051_7516.jpg'
 'https://images.dog.ceo/breeds/airedale/n02096051_9427.jpg']"
3,akita,"['https://images.dog.ceo/breeds/akita/Akita_hiking_in_Shpella_e_Pellumbasit.jpg'
 'https://images.dog.ceo/breeds/akita/Japaneseakita.jpg'
 'https://images.dog.ceo/breeds/akita/Akita_Inu_dog.jpg'
 'https://images.dog.ceo/breeds/akita/Akita_inu_blanc.jpg'
 'https://images.dog.ceo/breeds/akita/512px-Akita_inu.jpg']"
4,appenzeller,"['https://images.dog.ceo/breeds/appenzeller/n02107908_1195.jpg'
 'https://images.dog.ceo/breeds/appenzeller/n02107908_5534.jpg'
 'https://images.dog.ceo/breeds/appenzeller/n02107908_2090.jpg']"
5,australian-kelpie,['https://images.dog.ceo/breeds/australian-kelpie/Resized_20200303_233358_108952253645051.jpg']
6,australian-shepherd,"['https://images.dog.ceo/breeds/australian-shepherd/leroy.jpg'
 'https://images.dog.ceo/breeds/australian-shepherd/pepper2.jpg'
 'https://images.dog.ceo/breeds/australian-shepherd/pepper.jpg'
 'https://images.dog.ceo/breeds/australian-shepherd/sadie.jpg'
 'https://images.dog.ceo/breeds/australian-shepherd/forest.jpg']"
7,bakharwal-indian,['https://images.dog.ceo/breeds/bakharwal-indian/Bakharwal.jpg']
8,basenji,"['https://images.dog.ceo/breeds/basenji/n02110806_4117.jpg'
 'https://images.dog.ceo/breeds/basenji/n02110806_2421.jpg'
 'https://images.dog.ceo/breeds/basenji/n02110806_5238.jpg'
 'https://images.dog.ceo/breeds/basenji/n02110806_3331.jpg'
 'https://images.dog.ceo/breeds/basenji/n02110806_3751.jpg'
 'https://images.dog.ceo/breeds/basenji/n02110806_1525.jpg']"
9,beagle,['https://images.dog.ceo/breeds/beagle/n02088364_161.jpg']
10,bluetick,['https://images.dog.ceo/breeds/bluetick/n02088632_819.jpg']
11,bouvier,"['https://images.dog.ceo/breeds/bouvier/n02106382_1633.jpg'
 'https://images.dog.ceo/breeds/bouvier/n02106382_1311.jpg'
 'https://images.dog.ceo/breeds/bouvier/n02106382_112.jpg']"
12,boxer,"['https://images.dog.ceo/breeds/boxer/n02108089_14659.jpg'
 'https://images.dog.ceo/breeds/boxer/n02108089_2482.jpg']"
13,brabancon,"['https://images.dog.ceo/breeds/brabancon/n02112706_967.jpg'
 'https://images.dog.ceo/breeds/brabancon/n02112706_31.jpg'
 'https://images.dog.ceo/breeds/brabancon/n02112706_1862.jpg'
 'https://images.dog.ceo/breeds/brabancon/n02112706_793.jpg'
 'https://images.dog.ceo/breeds/brabancon/n02112706_1087.jpg'
 'https://images.dog.ceo/breeds/brabancon/n02112706_637.jpg']"
14,briard,"['https://images.dog.ceo/breeds/briard/n02105251_7233.jpg'
 'https://images.dog.ceo/breeds/briard/n02105251_8082.jpg'
 'https://images.dog.ceo/breeds/briard/n02105251_8725.jpg'
 'https://images.dog.ceo/breeds/briard/n02105251_6580.jpg'
 'https://images.dog.ceo/breeds/briard/n02105251_5384.jpg'
 'https://images.dog.ceo/breeds/briard/n02105251_4659.jpg']"
15,bulldog-boston,"['https://images.dog.ceo/breeds/bulldog-boston/n02096585_10452.jpg'
 'https://images.dog.ceo/breeds/bulldog-boston/n02096585_11776.jpg'
 'https://images.dog.ceo/breeds/bulldog-boston/n02096585_1947.jpg'
 'https://images.dog.ceo/breeds/bulldog-boston/n02096585_1260.jpg']"
16,bulldog-english,"['https://images.dog.ceo/breeds/bulldog-english/bunz.jpg'
 'https://images.dog.ceo/breeds/bulldog-english/mami.jpg'
 'https://images.dog.ceo/breeds/bulldog-english/jager-2.jpg']"
17,bulldog-french,['https://images.dog.ceo/breeds/bulldog-french/n02108915_5667.jpg']
18,bullterrier-staffordshire,['https://images.dog.ceo/breeds/bullterrier-staffordshire/n02093256_5647.jpg']
19,cattledog-australian,"['https://images.dog.ceo/breeds/cattledog-australian/IMG_1062.jpg'
 'https://images.dog.ceo/breeds/cattledog-australian/IMG_7057.jpg'
 'https://images.dog.ceo/breeds/cattledog-australian/IMG_3469.jpg']"
20,cavapoo,['https://images.dog.ceo/breeds/cavapoo/lulu2.jpg']
21,chihuahua,"['https://images.dog.ceo/breeds/chihuahua/n02085620_8558.jpg'
 'https://images.dog.ceo/breeds/chihuahua/n02085620_14516.jpg'
 'https://images.dog.ceo/breeds/chihuahua/n02085620_2973.jpg']"
22,chippiparai-indian,['https://images.dog.ceo/breeds/chippiparai-indian/Indian-Chippiparai.jpg']
23,chow,"['https://images.dog.ceo/breeds/chow/n02112137_2521.jpg'
 'https://images.dog.ceo/breeds/chow/n02112137_9212.jpg'
 'https://images.dog.ceo/breeds/chow/n02112137_12792.jpg']"
24,clumber,"['https://images.dog.ceo/breeds/clumber/n02101556_5449.jpg'
 'https://images.dog.ceo/breeds/clumber/n02101556_2928.jpg']"
25,cockapoo,"['https://images.dog.ceo/breeds/cockapoo/Guri1.jpg'
 'https://images.dog.ceo/breeds/cockapoo/Guri7.jpg'
 'https://images.dog.ceo/breeds/cockapoo/gracie.jpg']"
26,collie-border,"['https://images.dog.ceo/breeds/collie-border/n02106166_1452.jpg'
 'https://images.dog.ceo/breeds/collie-border/n02106166_8037.jpg'
 'https://images.dog.ceo/breeds/collie-border/n02106166_2345.jpg'
 'https://images.dog.ceo/breeds/collie-border/n02106166_1729.jpg']"
27,coonhound,"['https://images.dog.ceo/breeds/coonhound/n02089078_302.jpg'
 'https://images.dog.ceo/breeds/coonhound/n02089078_1275.jpg'
 'https://images.dog.ceo/breeds/coonhound/n02089078_901.jpg']"
28,corgi-cardigan,"['https://images.dog.ceo/breeds/corgi-cardigan/n02113186_9935.jpg'
 'https://images.dog.ceo/breeds/corgi-cardigan/n02113186_4480.jpg']"
29,cotondetulear,"['https://images.dog.ceo/breeds/cotondetulear/100_2013.jpg'
 'https://images.dog.ceo/breeds/cotondetulear/IMAG1063.jpg']"
30,dachshund,"['https://images.dog.ceo/breeds/dachshund/puppy-1006024_640.jpg'
 'https://images.dog.ceo/breeds/dachshund/dachshund-3.jpg'
 'https://images.dog.ceo/breeds/dachshund/Daschund_Wirehair.jpg'
 'https://images.dog.ceo/breeds/dachshund/dog-1083690_640.jpg'
 'https://images.dog.ceo/breeds/dachshund/dog-495133_640.jpg']"
31,dalmatian,"['https://images.dog.ceo/breeds/dalmatian/cooper1.jpg'
 'https://images.dog.ceo/breeds/dalmatian/cooper2.jpg']"
32,dane-great,"['https://images.dog.ceo/breeds/dane-great/n02109047_12966.jpg'
 'https://images.dog.ceo/breeds/dane-great/n02109047_1260.jpg'
 'https://images.dog.ceo/breeds/dane-great/n02109047_1005.jpg']"
33,danish-swedish-farmdog,"['https://images.dog.ceo/breeds/danish-swedish-farmdog/ebba_004.jpg'
 'https://images.dog.ceo/breeds/danish-swedish-farmdog/ebba_001.jpg']"
34,deerhound-scottish,"['https://images.dog.ceo/breeds/deerhound-scottish/n02092002_3301.jpg'
 'https://images.dog.ceo/breeds/deerhound-scottish/n02092002_9863.jpg']"
35,dhole,"['https://images.dog.ceo/breeds/dhole/n02115913_3998.jpg'
 'https://images.dog.ceo/breeds/dhole/n02115913_3115.jpg'
 'https://images.dog.ceo/breeds/dhole/n02115913_4119.jpg']"
